Date,Batch Locations,Gravity,pH,Temperature,ABV,Planned Start Date,Product,Batch,Original Gravity,OG Date
06/24/2024 ,FV15,4.8000,4.8700,71.5000,0.0016,06/20/2024 08:00 AM,NA IPA,WCNA Trial 24078,5.10,06/20/2024 12:00 PM
06/24/2024 ,FV06,3.3000,4.6200,72.1000,0.0618,06/17/2024 08:00 AM,Stowaway IPA 2.0,IPA 24077,14.76,06/17/2024 12:00 PM
06/24/2024 ,,2.2200,0.0000,0.0000,0.0688,05/30/2024 08:00 AM,Stowaway IPA 2.0,IPA 24070.3,14.75,05/30/2024 12:00 PM
06/24/2024 ,,14.7500,0.0000,0.0000,0.00,05/30/2024 08:00 AM,Stowaway IPA 2.0,IPA 24070.3,14.75,05/30/2024 12:00 PM
06/24/2024 ,,2.2200,0.0000,0.0000,0.0688,05/30/2024 08:00 AM,Stowaway IPA 2.0,IPA 24070.2,14.75,05/30/2024 12:00 PM
06/24/2024 ,,14.7500,0.0000,0.0000,0.00,05/30/2024 08:00 AM,Stowaway IPA 2.0,IPA 24070.2,14.75,05/30/2024 12:00 PM
06/24/2024 ,,14.7500,0.0000,0.0000,0.00,05/30/2024 08:00 AM,Stowaway IPA 2.0,IPA 24070.1,14.75,05/30/2024 12:00 PM
06/24/2024 ,,2.2200,0.0000,0.0000,0.0688,05/30/2024 08:00 AM,Stowaway IPA 2.0,IPA 24070.1,14.75,05/30/2024 12:00 PM
06/11/2024 ,FV18,3.7300,4.5400,0.0000,0.0041,06/05/2024 08:00 AM,NA IPA,NA Trial 24075,4.50,06/05/2024 12:00 PM
06/21/2024 ,BBL12,1.6200,4.5300,0.0000,0.0872,02/15/2024 07:00 AM,Phantom Punch (7),PHP 24021 For BBLs.4,17.50,02/15/2024 12:00 PM
06/21/2024 ,BBL11,1.7500,4.5400,0.0000,0.0865,02/15/2024 07:00 AM,Phantom Punch (7),PHP 24021 For BBLs.3,17.50,02/15/2024 12:00 PM
